id,genres
7CuxOoQMEaiSXIGwJJkQHW,ukrainian pop;dytyachi pisni
4GNVBarJ82ABAYZyPYwinT,ukrainian pop
75LJxqoSy5MSM2xCFzQp8F,ukrainian pop;ukrainian rock
1hPQtiP5RYlYrS3t8AjrlK,
6gYFTv081r8gQaC19iiszf,ukrainian pop
0vByMmR3Y8MBorEEE5Pmie,ukrainian pop;ukrainian viral pop
12TC6zACzfx6ey8ZAP6R3y,ukrainian pop;russian pop
7ojBwkKhmZzXDjrqwfLH26,russian alt pop
1GaJ8rxMQPzCfdZeMGH82G,
2xEFfGz4j5UpL2FNEhVI81,
198PqHQboOXnYfwD1cr9Sa,ukrainian pop
2xmQMKTjiOdkdGVgqDzezo,ukrainian pop
7biChppM3c8q7qcVl7ceb2,russian hip hop;russian emo rap;russian trap;kavkaz;russian grime
3WOhcATHxK2SLNeP5W3v1v,pop;uk pop;art pop;metropopolis;candy pop
3iRoXGFrF8O0jTul6LAmus,cloud rap
2tSOz2c3qqs8jOdlyMvHww,russian punk;russian alt pop
1GpsHzQa7FEHInzmtALUk9,ukrainian pop
7Itpc8R7jDH78967vhinGd,ukrainian post-punk
4GBfKfnvmcTcNrlJcV4OLV,ukrainian viral pop
5UW6yvwo3nVA609NgprdhK,russian alt pop;russian electronic
1jvbTfTwq3BCz0MPJA0eCo,
6gtK39SLszESqJFu2SkId3,ukrainian pop
4CrtgDoRlrafpZxowRGwyN,ukrainian pop
0NYvacFqoJdJggiOynzbur,ukrainian pop;ukrainian rock
1G5M0Aox7zAnvFjPqSo3fY,ukrainian pop
2N0SPREDYqILVEFSsWF5N5,j-division;korean ost
0Cu8JdYvV9DdmzLzhxaZLH,korean r&b;k-rap;k-pop
3coRPMnFg2dJcPu5RMloa9,k-pop girl group
198zDKzyktXRG1PGpidY9h,5th gen k-pop
4XsJiRJQAK8TWcZCn0Dxlh,k-rap;k-pop
5sjnkOfTLCLNfkkchI2re2,k-pop girl group
2CspwnypzT7rcWI9RfsoSb,k-pop
30slz6D2PtbwDimGJaEVsH,
3Xkh1A1o9ecexZDpspT9Va,mandopop;taiwan pop;taiwan indie
1aKvZDoLGkNMxoRYgkckZG,5th gen k-pop
1NoDTQhJsrd5rnpb6PQthK,mandopop;taiwan indie
580BvW3DyUNoYFgQgoD2GI,mandopop;taiwan pop;chinese r&b
48shm8jmaY2daKSe4gSKP6,mandopop
0cOMncRq4cmDLO4tPQnkBF,mandopop;taiwan pop;c-pop;zhongguo feng
4sgMbwl9lXGyHcHmtFYGMm,k-pop girl group
2kLuVbzpjnRAOwaTnp7C2J,mandopop;taiwan pop;taiwan indie
5pIcwtJYNJx93l420oR2Vm,mandopop;taiwan pop;c-pop;zhongguo feng
6GyUt7yJ0sOktc5HjvVnFh,malaysian mandopop
21LtZQQMQYwVIxc9O9Ygq8,5th gen k-pop
2DbDefRFJ5YOfXCKOeCJJh,k-pop girl group;5th gen k-pop
6kyH1z6IdLo1GH3EcZXHMa,
6aJn7Cst74cj4lNIiPRgav,5th gen k-pop
2VEt42QSQxILgEf9B50xxm,mandopop;taiwan indie
6i8MbzVn4nzyjUcSoVcz7B,k-pop girl group
1AtFSBJibfaqfiOByQCwZ5,korean trap;k-pop
7fAdinC2UTc0Y9GiKrkTtu,chinese viral pop
3V2v19gDm4rmRkMwcgS4X2,taiwan singer-songwriter
2ASWo8MTESnHQhJhpMSPbF,malaysian mandopop
0PBTlQ84CBJF0tBnKGmQa6,j-division;korean ost
3agPPRZPNOhbCwm2026EN6,mandopop;taiwan indie
0KqCs7XM8rsaRg9Kv8PbUa,j-division;korean pop;korean ost
5HVq8nS0pbM6G7YK8M7DY4,mandopop;taiwan pop;taiwan indie;taiwan punk
47QP509sXnE54NwhzoMHAi,5th gen k-pop
4BZlQdwkgUuaj5xbUHwUl8,
1BxfuPKGuaTgP7aM0Bbdwr,pop
3DeK5G7OhuJ1P1462XXgIu,k-pop
38tXZcL1gZRfbqfOG0VMTH,k-pop girl group;k-pop
57w29bSwdIZ6gr6xXOqwc1,mandopop;taiwan pop;c-pop;zhongguo feng
1IS0WFyiVpwsATeSzjEvpI,mandopop;taiwan indie;taiwanese indie
1lNcnIU4jtqD69Qtfjh8EJ,turkce slow sarkilar;turkish pop
7FfdTwI2i0b5PNeNvqtqCY,turkish hip hop
0Kg4pWKYkIIgjNOSaQdqJQ,turkish pop
3ff93VTp2DBbNnDEsAW8Cm,turkce drill
4myGkZkVBRhBgD43CJxKTp,turkish hip hop
0QuKutgaaa0Q1WUZEnrZ93,turkish hip hop
2qhX5pAKoF3lxG86HIEPSd,turkish hip hop
4KwetoJ2Hi9KN0K0oIcWNE,new school turkce rap;turkish trap;turkish hip hop
4sVIEO6DXqoGakHuixuPad,deep turkish pop
4HuB9A0O1XwmwTVtTgODm8,turkish hip hop
6G8XtIFpmAm0AUaCOJhTuS,new school turkce rap
5VykLQtjCYF6qFq59HbUg9,turkce slow sarkilar
0mSFwDtiAPPNwBOSFnI3G5,turkce slow sarkilar;turkish alt pop;turkish rock
5kGvQXOy9zumMUtmaYn2A9,
57w7FOfLpXZ9GWlAooYrSK,turkish trap;turkish hip hop
0E1hVdXGZu0MoE77bYyjie,new school turkce rap;deep turkish pop;persian pop;turkish pop
2SVoUZdzxuDuxBdHSO73KF,
2X4NUYZN0ylbM41ADKYv1X,turkce drill
6xTi66mobAdZcKR3SMyygD,turkish singer-songwriter;turkish alt pop;turkish pop
3FkWbO7xBYS3a0MJHN6XlV,turkish pop
1kfXupjpLLLwSkzebqZT2X,turkish hip hop
4E10qEzOmTIVmrg6Wz2RHj,turkish pop
6kWF1fWqA2ZuWn70TQvtmQ,turkce drill
1RI3YE0BqwN2Fd6Ej0gTqW,turkish hip hop;turkce drill
3Lpeu0zbUXY1WfoGy1vEuh,turkish hip hop
3AaGQ8lTi31RBk9WMDfPX5,
5RZH849e1ZWa2qeVz6O3mK,turkish pop
5M6QrHGDWdWhyq7hVz3zR8,turkish pop
5Y5fFEqazjbtNAgbx9noTF,
1TxvnXbTRmYwtlkFEn8Rpb,turkce slow sarkilar;turkish pop
4mwKj8jNSq8eTp3ylpcBAE,turkish singer-songwriter;turkish instrumental;turkish pop
3ZwRkdnTb4az8X5n4WXuHA,turkce drill
1O3utGlqPaNnTX1ZeRXLQY,turkce drill
5XQ1eD5Esz1CzdjH9bzbzn,turkish hip hop
2j7M9A1Ko4LHi46sAmgLSF,turkish hip hop
4SRgqhtJjo210gkdwMoHNw,turkish hip hop
3r4JGqyBhcIpOKRQLYjD5C,turkish rock;turkish pop
2ugG3itPOpM9IANApt473B,new school turkce rap
7rB7UrKvW1yfFEiRrZsrXt,turkish hip hop
6pZ31N4gd3Yk9277ptUHjb,turkish trap;turkish hip hop
4cHrCNJTdMfbtY0fjc5ged,arabesk
4v8LZr4pYJFo3lnB5BJBAc,karadeniz turkuleri;karadeniz pop;turkish pop
38d47UiHhyu4wdbPYz0ZUB,turkish pop
0SwRpscOdj6PBhudNVIGpW,turkce drill
16q5oimlCAiDWkQCGvkhc3,
0JMJAump4huv3wtiNxRbTx,turkish hip hop
2CZzw0He9fzyi2FkBkn4Bk,turkish hip hop;turkish pop
6vFHg6OAyhAWUbigiz3gn8,turkish alternative;turkish rock;turkish pop
3yDRcs0Y4pPzkvMbUfeF9H,k-pop
6BN3iFjclJ4teGlmB3fFvo,t-pop;thai pop;thai rock
2AdBbeVaEdW731a3FXJAJC,t-pop;thai pop;thai indie pop
24VfUtHxbkCrscWC00toom,t-pop;thai pop;deep german indie
3grGyWGWsuIUxA2CudpwAB,t-pop;thai pop;thai rock
4kE80JWRissrodmXuo0xYi,t-pop
2OULHL0yM3KbaHC1vlTffC,t-pop;thai pop;thai indie pop
43eS61ezviPc61XDu6tRYR,t-pop
4KZRjuldIGTS7AQUPbUvbs,t-pop
7ov3TDp5D00Rnu5R1viX4w,pop;k-pop;r&b en espanol
2a78JDp7YVCyEydtRiHOn7,t-pop
5jj7yXcilVsZPpyYtmD28X,t-pop
4UyEA5UP6ducMaV9NiggTr,t-pop;thai rock
1fUncVCIUnmf6qihsRkoBE,t-pop;thai indie rock
7syPkLWA4AjH2jto6FDjEC,t-pop
6d8gjGmu1uNrjjJbLvgyaH,t-pop;thai indie pop
3ZajpwGfKsToCEAuLTtoxF,t-pop;greek house;thai indie pop;thai indie rock
1gagehYgkm4azlIyIasuAO,
2LJerOY5jSwO5K6OF9Cyuz,t-pop;thai indie pop
5BmF05GWZpmm5JZ5p3yMJr,t-pop;thai indie pop
0cvETHNq3ZkPHdYCqRXhzk,t-pop
