id,genres
0Ag6LNrSfJVKRhGzD7ArDq,rock;album rock;british invasion;classic rock
0PyGmZCJ65xZBhXqCGYWlC,british invasion;classic rock;pop;dance pop;album rock;rock;art pop
1JgVMnVVOhPBmUDD7SYva3,dutch hip hop;dutch rap pop
4yOAYf9yYNT5Pq3iuuJcUa,rock;album rock;british invasion;classic rock
6ZPz7V1JLOcqPjMnJnwyJT,rock;album rock;british invasion;classic rock
18jFtQZUqk4n4lzmjweLq5,afrobeats;nigerian pop
2al7bELNOLyTgTwkgCjv5J,
2yMJuPe0zsr8bxjEY3dZTi,dikir barat
6b1FtAPClgZMtCRiWt534T,chill drill
6XH5Uqo3d0cvBv0dv9Jwh8,melodic drill;manchester hip hop
4ckEvXcaBNkzjtqbfYxXGe,french hip hop;pop urbaine;cloud rap francais
1nS7nL6Kyh8p0DOglJTdfD,korean city pop;korean pop
4o3d5M5vRQsacmS9d5Y9kB,rome indie;italian pop;italian adult pop
1fz4ovlT1RvvkokF1GRuYF,rome indie;italian pop;italian adult pop
5s8r7FStF8hGauIO9rOlfF,rome indie;italian pop;italian adult pop
43LI7DylyS6Cw3zMAEyyK5,rome indie;italian pop;italian adult pop
5inzjqKe05zP1eInEO8O1i,tamil hip hop;desi hip hop;filmi;modern bollywood
4C7cg72gU51s1IT4wh7Vp9,israeli mediterranean;israeli pop;mizrahi
46TdVjDXpTKcPqsHItxDKn,french hip hop;pop urbaine;rap francais
5upp18sWYDfl5mt22PkpKJ,french hip hop;pop urbaine;rap francais
0tGshe4WNGp7rvXHxDQvbH,french hip hop;pop urbaine;rap francais
6mabgsLAUmCQmWunduWXgr,french hip hop;pop urbaine;rap francais
2ohO63bidj6AMGmRxqWGt0,french hip hop;pop urbaine;rap francais
5hykFjl2n0CpLS1yYTvdMX,finnish hip hop;finnish trap
4d8H46Vif1ySvApG4WS2J8,finnish hip hop;finnish trap
3YS6ps8C4Dh3DbizRvgpjc,finnish drill
6oA2XNlyXtGl0y49bdwIoI,urbano espanol;spanish pop
3jpoHW9PURchPZ5QhBUvcB,estonian hip hop
4DKx6WQNUY4rovNtSWZee7,estonian hip hop;estonian pop
5wxo0JPn0HzwIp58dz9zCG,estonian hip hop
2JQs2lWo7CwrWKjuz34lAo,estonian hip hop;estonian pop
2keinRQHJcZlwL0B7NM3zt,estonian hip hop
3FZQIdPsmOUXEBIjUc2uQk,estonian hip hop
4LgJS8l1lpHUYCuVpVjbuO,estonian hip hop
0pOsvtGX3tuYk0CKf0cxij,danish pop
3eBZvO3q5DlsC8q578fVmK,danish pop
09YpAeK3XsbIvhkIfwAYUe,german cloud rap;german hip hop
6kxLxd8sYDnUCQU7j14dHd,german hip hop
1KVRICIgKjo1RTB3ZRkAL2,german hip hop
2n9mhw8QD22FClNn9ye03T,german hip hop;german hyperpop
